Date,Cattle_q_mpd,Beef_p_cwt,Cattle_p_cwt_tx,Cattle_p_cwt_ne,Cattle_weightage_tx,Cattle_weightage_ne,Slaughter_processing_c_pd
1-Jan-2010,2081.80000,142.87000,85.5000,83.46000,0.71194,0.28806,0.58000
1-Feb-2010,1955.20000,143.22000,90.3100,87.41000,0.71194,0.28806,0.58000
1-Mar-2010,2211.20000,155.73000,95.4100,92.93000,0.71194,0.28806,0.58000
1-Apr-2010,2139.20000,167.37000,98.5700,99.58000,0.71194,0.28806,0.58000
1-May-2010,2087.20000,168.80000,98.4700,97.93000,0.71194,0.28806,0.58000
1-Jun-2010,2320.00000,156.54000,92.4900,92.25000,0.71194,0.28806,0.58000
1-Jul-2010,2229.60000,154.53000,93.5000,93.12000,0.71194,0.28806,0.58000
1-Aug-2010,2286.60000,156.67000,96.6400,96.42000,0.71194,0.28806,0.58000
1-Sep-2010,2252.20000,159.20000,97.4300,97.22000,0.71194,0.28806,0.58000
1-Oct-2010,2234.90000,156.58000,98.8900,97.85000,0.71194,0.28806,0.58000
1-Nov-2010,2235.50000,159.25000,100.0100,99.89000,0.71194,0.28806,0.58000
1-Dec-2010,2270.90000,162.20000,104.4200,102.30000,0.71194,0.28806,0.58000
1-Jan-2011,2122.90000,169.96000,106.1000,105.12000,0.71194,0.28806,0.58000
1-Feb-2011,2020.40000,169.82000,109.2200,109.50000,0.71194,0.28806,0.58000
1-Mar-2011,2266.20000,182.52000,115.5800,116.81000,0.71194,0.28806,0.58000
1-Apr-2011,2052.50000,188.05000,119.5800,119.80000,0.71194,0.28806,0.58000
1-May-2011,2131.90000,177.96000,109.7900,111.42000,0.71194,0.28806,0.58000
1-Jun-2011,2375.00000,176.02000,106.6600,109.00000,0.71194,0.28806,0.58000
1-Jul-2011,2134.10000,178.44000,111.7100,110.87000,0.71194,0.28806,0.58000
1-Aug-2011,2386.90000,181.12000,113.5700,114.17000,0.71194,0.28806,0.58000
1-Sep-2011,2215.20000,183.05000,117.2500,117.17000,0.71194,0.28806,0.58000
1-Oct-2011,2215.10000,185.34000,120.3800,121.25000,0.71194,0.28806,0.58000
1-Nov-2011,2148.80000,192.51000,123.1600,124.76000,0.71194,0.28806,0.58000
1-Dec-2011,2126.30000,190.72000,121.3200,122.80000,0.71194,0.28806,0.58000
1-Jan-2012,2113.10000,186.77000,123.5800,123.73000,0.71194,0.28806,0.58000
1-Feb-2012,2008.90000,190.46000,126.4300,125.74000,0.71194,0.28806,0.58000
1-Mar-2012,2159.50000,190.54000,126.5900,127.16000,0.71194,0.28806,0.58000
1-Apr-2012,1990.60000,183.43000,120.5500,122.46000,0.71194,0.28806,0.58000
1-May-2012,2231.90000,192.84000,120.5900,122.07000,0.71194,0.28806,0.58000
1-Jun-2012,2250.70000,197.24000,120.3200,119.27000,0.71194,0.28806,0.58000
1-Jul-2012,2201.40000,185.25000,114.8100,114.95000,0.71194,0.28806,0.58000
1-Aug-2012,2368.60000,186.82000,119.9100,120.12000,0.71194,0.28806,0.58000
1-Sep-2012,2015.50000,192.09000,125.0200,125.14000,0.71194,0.28806,0.58000
1-Oct-2012,2344.80000,194.19000,126.1500,125.61000,0.71194,0.28806,0.58000
1-Nov-2012,2207.50000,194.22000,126.6300,125.75000,0.71194,0.28806,0.58000
1-Dec-2012,2020.10000,194.25000,125.5200,125.65000,0.71194,0.28806,0.58000
1-Jan-2013,2261.30000,191.12000,124.9700,124.33000,0.71194,0.28806,0.58000
1-Feb-2013,1873.40000,183.60000,124.4200,125.47000,0.71194,0.28806,0.58000
1-Mar-2013,2039.80000,193.79000,126.3900,126.33000,0.71194,0.28806,0.58000
1-Apr-2013,2128.60000,191.01000,127.2100,128.08000,0.71194,0.28806,0.58000
1-May-2013,2227.60000,205.64000,125.3900,126.48000,0.71194,0.28806,0.58000
1-Jun-2013,2157.00000,200.83000,120.8100,121.70000,0.71194,0.28806,0.58000
1-Jul-2013,2294.10000,191.87000,118.9700,120.41000,0.71194,0.28806,0.58000
1-Aug-2013,2241.20000,191.66000,121.9000,123.78000,0.71194,0.28806,0.58000
1-Sep-2013,2073.80000,194.01000,123.9800,124.23000,0.71194,0.28806,0.58000
1-Oct-2013,2318.20000,202.33000,128.7200,130.09000,0.71194,0.28806,0.58000
1-Nov-2013,2057.60000,202.01000,131.5400,132.23000,0.71194,0.28806,0.58000
1-Dec-2013,2047.30000,199.77000,132.0600,131.18000,0.71194,0.28806,0.58000
1-Jan-2014,2140.90000,221.17000,141.4100,143.33000,0.71194,0.28806,0.58000
1-Feb-2014,1788.40000,214.43000,144.8500,146.45000,0.71194,0.28806,0.58000
1-Mar-2014,1937.00000,239.03000,149.2400,151.93000,0.71194,0.28806,0.58000
1-Apr-2014,2043.10000,229.14000,146.0900,149.01000,0.71194,0.28806,0.58000
1-May-2014,2071.70000,228.96000,144.0700,146.19000,0.71194,0.28806,0.58000
1-Jun-2014,2069.00000,236.60000,148.6500,149.55000,0.71194,0.28806,0.58000
1-Jul-2014,2087.40000,252.87000,156.8000,158.57000,0.71194,0.28806,0.58000
1-Aug-2014,2023.50000,254.83000,157.8100,158.35000,0.71194,0.28806,0.58000
1-Sep-2014,2068.40000,246.14000,161.0500,159.86000,0.71194,0.28806,0.58000
1-Oct-2014,2171.10000,246.80000,164.9800,164.91000,0.71194,0.28806,0.58000
1-Nov-2014,1849.50000,253.18000,169.8800,170.04000,0.71194,0.28806,0.58000
1-Dec-2014,2000.20000,247.35000,163.1400,163.09000,0.71194,0.28806,0.58000
1-Jan-2015,1963.50000,254.45000,163.2500,165.13000,0.71194,0.28806,0.58000
1-Feb-2015,1768.10000,241.30000,160.0900,160.29000,0.71194,0.28806,0.58000
1-Mar-2015,1933.30000,247.62000,162.9600,163.42000,0.71194,0.28806,0.58000
1-Apr-2015,1928.80000,257.44000,161.1000,162.98000,0.71194,0.28806,0.58000
1-May-2015,1925.50000,260.25000,160.0600,160.76000,0.71194,0.28806,0.58000
1-Jun-2015,2001.60000,250.06000,150.8400,151.13000,0.71194,0.28806,0.58000
1-Jul-2015,2046.80000,238.91000,149.1000,149.17000,0.71194,0.28806,0.58000
1-Aug-2015,1934.90000,241.81000,148.5300,149.06000,0.71194,0.28806,0.58000
1-Sep-2015,2086.60000,227.68000,131.6300,136.28000,0.71194,0.28806,0.58000
1-Oct-2015,2126.30000,212.09500,135.5200,132.88000,0.71194,0.28806,0.58000
1-Nov-2015,1936.10000,210.62500,130.7300,126.90000,0.71194,0.28806,0.58000
1-Dec-2015,2046.30000,207.46000,124.6500,125.00000,0.71194,0.28806,0.58000
1-Jan-2016,1954.20000,227.76000,134.6100,133.15000,0.71194,0.28806,0.58000
1-Feb-2016,1886.00000,217.46000,136.0200,133.85000,0.71194,0.28806,0.58000
1-Mar-2016,2097.30000,224.61000,135.7800,137.83000,0.71194,0.28806,0.58000
1-Apr-2016,1964.00000,218.87500,129.8400,129.52000,0.71194,0.28806,0.58000
1-May-2016,2030.20000,216.90750,131.6000,129.90000,0.71194,0.28806,0.58000
1-Jun-2016,2193.00000,219.84600,122.06,122.95,0.71194,0.28806,0.58000
1-Jul-2016,2024.20000,203.87750,118.2500,117.10000,0.71194,0.28806,0.58000
1-Aug-2016,2265.80000,199.30000,117.3200,116.91000,0.71194,0.28806,0.58000
1-Sep-2016,2181.50000,187.77000,106.0800,106.22000,0.71194,0.28806,0.58000
1-Oct-2016,2211.20000,182.29000,102.8700,101.76000,0.71194,0.28806,0.58000
1-Nov-2016,2240.20000,186.27000,109.4600,106.23000,0.71194,0.28806,0.58000
1-Dec-2016,2173.30000,195.23000,113.2800,115.24000,0.71194,0.28806,0.58000
1-Jan-2017,2119.30000,194.40000,120.4900,119.92000,0.71194,0.28806,0.58000
1-Feb-2017,1933.90000,191.42000,121.6200,121.83000,0.71194,0.28806,0.58000
1-Mar-2017,2249.70000,216.36000,126.6700,126.91000,0.71194,0.28806,0.58000
1-Apr-2017,1963.10000,213.78000,131.8000,131.18000,0.71194,0.28806,0.58000
1-May-2017,2163.40000,243.43000,135.5800,138.42000,0.71194,0.28806,0.58000
1-Jun-2017,2280.30000,244.16000,131.0800,130.10000,0.71194,0.28806,0.58000
1-Jul-2017,2107.90000,212.22000,118.5900,118.08000,0.71194,0.28806,0.58000
1-Aug-2017,2402.10000,197.48000,112.0300,113.01000,0.71194,0.28806,0.58000
1-Sep-2017,2225.60000,192.79000,107.2000,107.73000,0.71194,0.28806,0.58000
1-Oct-2017,2303.00000,198.65000,111.9800,113.40000,0.71194,0.28806,0.58000
1-Nov-2017,2290.60000,209.08000,121.3900,122.49000,0.71194,0.28806,0.58000
1-Dec-2017,2148.40000,203.09000,119.7700,119.73000,0.71194,0.28806,0.58000
1-Jan-2018,2279.00000,207.94000,123.3700,124.35000,0.71194,0.28806,0.58000
1-Feb-2018,1983.90000,213.66000,127.9800,127.93000,0.71194,0.28806,0.58000
1-Mar-2018,2203.50000,223.50000,125.6400,124.97000,0.71194,0.28806,0.58000
1-Apr-2018,2117.70000,215.29000,120.2900,121.11000,0.71194,0.28806,0.58000
1-May-2018,2307.00000,229.34000,120.0500,116.14000,0.71194,0.28806,0.58000
1-Jun-2018,2300.90000,221.03000,111.0000,110.10000,0.71194,0.28806,0.58000
1-Jul-2018,2231.60000,206.32000,112.1600,112.39000,0.71194,0.28806,0.58000
1-Aug-2018,2429.60000,209.15000,111.2900,109.98000,0.71194,0.28806,0.58000
1-Sep-2018,2157.50000,206.07000,110.2900,110.69000,0.71194,0.28806,0.58000
1-Oct-2018,2430.60000,208.18000,113.3200,111.53000,0.71194,0.28806,0.58000
1-Nov-2018,2315.10000,214.59000,116.0400,115.28000,0.71194,0.28806,0.58000
1-Dec-2018,2116.00000,213.60000,120.3200,120.34000,0.71194,0.28806,0.58000
1-Jan-2019,2309.60000,215.03000,123.6400,123.28000,0.71194,0.28806,0.58000
1-Feb-2019,1987.10000,217.81000,124.3800,124.66000,0.71194,0.28806,0.58000
1-Mar-2019,2117.10000,227.45000,127.1900,127.51000,0.71194,0.28806,0.58000
1-Apr-2019,2261.70000,230.30000,125.1000,125.82000,0.71194,0.28806,0.58000
1-May-2019,2328.00000,223.61000,115.8600,118.03000,0.71194,0.28806,0.58000
1-Jun-2019,2227.10000,221.28000,111.5000,113.08000,0.71194,0.28806,0.58000
1-Jul-2019,2360.70000,214.81000,110.4200,112.99000,0.71194,0.28806,0.58000
1-Aug-2019,2373.40000,230.17000,106.6600,111.13000,0.71194,0.28806,0.58000
1-Sep-2019,2188.60000,221.35000,99.6700,103.30000,0.71194,0.28806,0.58000
1-Oct-2019,2439.30000,219.70000,108.9200,109.80000,0.71194,0.28806,0.58000
1-Nov-2019,2296.90000,235.53000,N/A,115.96000,0.71194,0.28806,0.58000
1-Dec-2019,2265.10000,217.24000,N/A,120.20000,0.71194,0.28806,0.58000
1-Jan-2020,2388.40000,211.87000,N/A,123.86000,0.71194,0.28806,0.58000
1-Feb-2020,2131.30000,207.60000,118.5400,117.31000,0.71194,0.28806,0.58000
1-Mar-2020,2411.20000,228.05000,112.3000,111.06000,0.71194,0.28806,0.31000
1-Apr-2020,1817.30000,241.94000,103.6700,105.18000,0.71194,0.28806,0.31000
1-May-2020,1865.60000,405.80000,107.4300,103.14000,0.71194,0.28806,0.31000
1-Jun-2020,2375.70000,242.31000,103.6000,99.98000,0.71194,0.28806,0.57000
1-Jul-2020,2423.20000,203.24000,95.3300,97.72000,0.71194,0.28806,0.57000
1-Aug-2020,2335.60000,216.71000,103.3600,105.51000,0.71194,0.28806,0.57000
1-Sep-2020,2356.50000,220.56000,104.0500,103.28000,0.71194,0.28806,0.57000
1-Oct-2020,2474.20000,212.41000,107.1700,106.36000,0.71194,0.28806,0.57000
1-Nov-2020,2267.30000,228.00000,109.8500,109.39000,0.71194,0.28806,0.57000
1-Dec-2020,2327.40000,217.82000,110.1200,110.00000,0.71194,0.28806,0.57000
1-Jan-2021,2309.10000,216.73000,110.9500,109.84000,0.71194,0.28806,0.57000
1-Feb-2021,2105.50000,236.49000,113.9700,114.00000,0.71194,0.28806,0.57000
1-Mar-2021,2480.60000,231.23000,114.1600,114.71000,0.71194,0.28806,0.57000
1-Apr-2021,2346.30000,271.67000,119.7400,121.67000,0.71194,0.28806,0.57000
1-May-2021,2210.90000,317.59000,118.2300,118.00000,0.71194,0.28806,0.57000
1-Jun-2021,2399.40000,329.70000,120.2300,121.98000,0.71194,0.28806,0.57000
1-Jul-2021,2318.80000,273.40000,118.7000,123.03000,0.71194,0.28806,0.57000
1-Aug-2021,2360.00000,321.67000,121.3500,124.31000,0.71194,0.28806,0.57000
